# ID    Phrase  	Tag1    Tag2    Etc
591	The snail	Noun	Nature
592	The slug	Noun	Nature
593	The shell	Noun	Nature
594	The scientist	Noun	Occupation
595	The inventor	Noun	Occupation
596	The programmer	Noun	Occupation
597	The delay	Noun	Time
598	The countdown	Noun	Time
599	The sunrise	Noun	Time
600	The sunset	Noun	Time
601	The tarp	Noun	Tools
602	The drill (tool)	Noun	Tools
603	The hammer	Noun	Tools
604	The nails (i.e. metal spikes)	Noun	Tools
605	The screws	Noun	Tools
606	The tweezers	Noun	Tools
607	The pliers	Noun	Tools
608	The clothes peg	Noun	Tools
609	The spoon	Noun	Tools
610	The fork	Noun	Tools
611	The tool	Noun	Tools
612	The magnifying glass	Noun	Tools
613	The knot	Noun	Tools
614	The screw	Noun	Tools
615	The tape	Noun	Tools
616	De handzaag	Noun	Tools
617	De boormachine	Noun	Tools
618	De hamer	Noun	Tools
619	De tang	Noun	Tools
620	Monday	Noun	Weekday
621	Tuesday	Noun	Weekday
622	Wednesday	Noun	Weekday
623	Thursday	Noun	Weekday
624	Friday	Noun	Weekday
625	Saturday	Noun	Weekday
626	Sunday	Noun	Weekday
627	One	Number
628	Two	Number
629	Three	Number
630	Four	Number
631	Five	Number
632	Six	Number
633	Seven	Number
634	Eight	Number
635	Nine	Number
636	Ten	Number
637	Eleven	Number
638	Twelve	Number
639	Thirteen	Number
640	Fourteen	Number
641	Fifteen	Number
642	Sixteen	Number
643	Seventeen	Number
644	Eighteen	Number
645	Nineteen	Number
646	Twenty	Number
647	Twentyone	Number
648	Twentytwo	Number
649	Thirty	Number
650	Fourty	Number
651	Fifty	Number
652	Sixty	Number
653	Seventy	Number
654	Eighty	Number
655	Ninety	Number
656	Hundred	Number
657	Hundredtwo	Number
658	Hundredthirty	Number
659	Twohundred	Number
660	To inhabit	Verb
661	To earn	Verb
662	To cost	Verb
663	To invest	Verb
664	To invent	Verb
665	To design	Verb
666	To program	Verb
667	To hurt	Verb
668	To hear	Verb
669	To walk	Verb
670	To run	Verb
671	To climb	Verb
672	To swim	Verb
673	To ascend	Verb
674	To rise	Verb
675	To emerge	Verb
676	To descend	Verb
677	To laugh	Verb
678	To camp	Verb
679	To heat up	Verb
680	To complain about something	Verb
681	To fit	Verb
682	To guess	Verb
683	To shuffle (cards)	Verb
684	To weigh	Verb
685	To serve (a purpose)	Verb
686	To save / store	Verb
687	To sustain	Verb
688	To find out	Verb
689	To (tell a) lie	Verb
690	To hang (e.g. from the ceiling)	Verb
691	To stick	Verb
692	To hit / to beat	Verb
693	To break	Verb
694	To be cool	Verb
695	To grow (up)	Verb
696	To propose	Verb
697	To suggest	Verb
698	To launch	Verb
699	To save (besparen)	Verb
700	To smell (something)	Verb
701	To burn	Verb
702	To extend	Verb
703	To dress up (e.g. for halloween)	Verb
704	To chat	Verb
705	To become / turn into ...	Verb
706	To hate	Verb
707	To mount / assemble	Verb
708	To organise	Verb
709	To sell	Verb
710	To damage	Verb
711	To repair	Verb
712	To risk	Verb
713	To realize	Verb
714	To sit	Verb
715	To care for	Verb
716	To harvest	Verb
717	To offer / provide	Verb
718	To be located at	Verb
719	To enter	Verb
720	To arise / emerge	Verb
721	To survive	Verb
722	To relieve / alleviate	Verb
723	To fight	Verb
724	To possess / own	Verb
725	To return something / to give back	Verb
726	To approach	Verb
727	To win / earn	Verb
728	To support	Verb
729	To sow (seeds)	Verb
730	To advise	Verb
731	To prevent / to impede	Verb
732	To crush	Verb
733	To put in	Verb
734	To develop	Verb
735	To convice	Verb
736	To get up early	Verb
737	To step / to tread	Verb
738	To take off (as in a rocket) / detach	Verb
739	To man (e.g. a ship)	Verb
740	To establish	Verb
741	To create	Verb
742	To betray	Verb
743	To stare	Verb
744	To construct	Verb
745	To deserve	Verb
746	To flirt	Verb
747	To slice	Verb
748	To cut	Verb
749	To challenge	Verb
750	To force	Verb
751	To delete	Verb
752	To remove	Verb
753	To face ... / to confront	Verb
754	To carry out / to perform	Verb
755	To highlight / to stand out	Verb
756	To rhyme	Verb
757	To push	Verb
758	To pull	Verb
759	To bake	Verb
760	To measure	Verb
761	To reach (out to something)	Verb
762	To discover	Verb
763	To cover	Verb
764	To exceed / overcome	Verb
765	To belong to ...	Verb
766	To predict	Verb
767	To steal	Verb
768	To provide / produce / contribute	Verb
769	To produce	Verb
770	To reinforce	Verb
771	To hear	Verb
772	To increase	Verb
773	To poop	Verb
774	To hike	Verb	Nature
775	The spider	Animal	Noun
776	The worm	Animal	Noun
777	The cricket	Animal	Noun
778	The cage	Animal	Noun
